id,userid,courseid,component,action,objectid,timecreated,_week
5939,34,7,mod_resource,view,92,1709460002,4
5940,34,5,mod_assign,submit,3,1709070110,4
5941,34,6,mod_resource,view,87,1709055803,4
5942,34,2,mod_book,attempt,22,1709432157,4
5943,34,2,mod_assign,submit,9,1709555770,4
5944,34,2,mod_assign,submit,9,1709537584,4
5945,34,2,mod_resource,view,20,1709404205,4
5946,34,10,mod_url,view,140,1709140517,4
5947,34,10,mod_bigbluebuttonbn,view,145,1709297374,4
5948,34,8,mod_assign,submit,12,1709290057,4
5949,34,9,mod_book,view,129,1709006702,4
5950,34,1,mod_assign,submit,1,1709558564,4
5951,34,6,mod_assign,submit,11,1709259526,4
5952,34,7,mod_folder,view,96,1708977437,4
5953,34,10,mod_url,view,140,1709518140,4
5954,40,8,mod_bigbluebuttonbn,attempt,110,1709374566,4
5955,40,12,mod_url,view,168,1709011414,4
5956,40,9,mod_assign,submit,5,1709224175,4
5957,43,3,mod_url,view,37,1709563055,4
5958,43,14,mod_lesson,view,204,1709145493,4
5959,43,10,mod_folder,view,143,1709407799,4
5960,43,7,mod_resource,view,102,1709389380,4
5961,43,9,mod_book,view,134,1709076225,4
5962,43,6,mod_book,view,89,1709286190,4
5963,43,12,mod_bigbluebuttonbn,view,171,1709114564,4
5964,43,7,mod_resource,view,92,1709211892,4
5965,43,8,mod_folder,view,120,1709569871,4
5966,43,8,mod_bigbluebuttonbn,view,119,1709228197,4
5967,43,5,mod_page,view,71,1709152871,4
5968,43,2,mod_lesson,view,28,1709473744,4
5969,43,1,mod_folder,view,6,1709250986,4
5970,43,1,mod_url,view,14,1709519922,4
5971,45,6,mod_bigbluebuttonbn,view,82,1709291712,4
5972,45,14,mod_lesson,view,204,1709032999,4
5973,45,12,mod_assign,submit,14,1709471617,4
5974,45,10,mod_url,view,146,1709024565,4
5975,45,6,mod_book,view,77,1709000401,4
5976,45,12,mod_folder,view,169,1709172899,4
5977,45,2,mod_page,view,16,1709192154,4
5978,45,14,mod_resource,view,200,1709259020,4
5979,45,6,mod_resource,view,86,1709379322,4
5980,45,15,mod_assign,submit,8,1709096581,4
5981,45,14,mod_assign,submit,15,1709593052,4
5982,53,12,mod_resource,view,177,1709569414,4
5983,53,2,mod_book,view,22,1709006380,4
5984,53,10,mod_lesson,attempt,148,1709172975,4
5985,53,6,mod_assign,submit,11,1709187951,4
5986,53,1,mod_lesson,view,8,1709140926,4
5987,53,14,mod_lesson,attempt,204,1709363757,4
5988,53,8,mod_folder,view,107,1709291527,4
5989,53,2,mod_resource,attempt,25,1709225556,4
5990,53,11,mod_resource,view,151,1709417588,4
5991,53,6,mod_assign,submit,11,1709500816,4
5992,58,11,mod_page,view,162,1709148812,4
5993,58,7,mod_assign,submit,4,1709173944,4
5994,58,6,mod_resource,view,87,1709159660,4
5995,58,7,mod_folder,view,105,1709461350,4
5996,58,11,mod_assign,submit,6,1709096740,4
5997,58,5,mod_bigbluebuttonbn,view,74,1709422706,4
5998,58,15,mod_lesson,view,224,1709559151,4
5999,58,4,mod_page,view,60,1709390699,4
6000,58,4,mod_assign,submit,10,1709506545,4
6001,58,8,mod_assign,submit,12,1709242687,4
6002,58,1,mod_url,view,15,1709491543,4
6003,58,2,mod_book,view,26,1709218911,4
6004,58,10,mod_url,attempt,146,1709010003,4
6005,58,10,mod_lesson,view,148,1709063714,4
6006,58,8,mod_bigbluebuttonbn,view,110,1709086920,4
6007,58,6,mod_book,view,77,1709462696,4
6008,58,5,mod_folder,view,73,1709004973,4
6009,58,3,mod_folder,view,39,1709115976,4
6010,58,11,mod_page,view,162,1709121373,4
6011,58,2,mod_page,attempt,16,1709289658,4
6012,80,13,mod_book,view,191,1709452021,4
6013,80,7,mod_url,view,104,1709484373,4
6014,80,7,mod_assign,submit,4,1709164667,4
6015,80,4,mod_page,view,54,1709219838,4
6016,80,6,mod_book,view,79,1709094949,4
6017,80,6,mod_lesson,view,78,1709269007,4
6018,80,3,mod_book,view,36,1709158075,4
6019,80,11,mod_resource,view,157,1709484437,4
6020,80,10,mod_bigbluebuttonbn,view,145,1709160982,4
6021,80,2,mod_lesson,view,28,1709474011,4
6022,80,2,mod_url,view,27,1709167030,4
6023,80,6,mod_book,attempt,90,1709374048,4
6024,80,1,mod_assign,submit,1,1709445748,4
6025,80,7,mod_page,view,101,1709368696,4
6026,80,1,mod_assign,submit,1,1709321643,4
6027,83,7,mod_url,view,104,1709381177,4
6028,83,12,mod_resource,view,177,1709122503,4
6029,83,9,mod_book,view,129,1709134028,4
6030,83,5,mod_bigbluebuttonbn,attempt,69,1709008402,4
6031,83,9,mod_lesson,view,121,1709353830,4
6032,83,14,mod_assign,submit,15,1709548270,4
6033,83,2,mod_book,view,26,1709158727,4
6034,83,2,mod_url,view,30,1709517291,4
6035,83,6,mod_page,view,81,1709228247,4
6036,95,9,mod_lesson,view,130,1709197609,4
6037,95,14,mod_assign,submit,15,1709414405,4
6038,95,13,mod_assign,submit,7,1709562056,4
6039,95,2,mod_resource,attempt,25,1709032621,4
6040,95,6,mod_book,view,77,1709497697,4
6041,95,8,mod_lesson,view,114,1709486307,4
6042,95,13,mod_book,view,191,1709384500,4
6043,95,13,mod_book,view,182,1709052180,4
6044,95,8,mod_assign,submit,12,1709083634,4
6045,95,10,mod_page,view,137,1709117704,4
6046,95,5,mod_bigbluebuttonbn,view,69,1708975401,4
6047,96,9,mod_resource,view,128,1709111964,4
6048,96,3,mod_assign,submit,2,1709379434,4
6049,96,11,mod_resource,view,157,1709148011,4
6050,96,4,mod_page,view,54,1709599716,4
6051,100,11,mod_page,view,161,1709216754,4
6052,100,12,mod_url,attempt,168,1709040418,4
6053,100,12,mod_folder,view,175,1709400932,4
6054,113,3,mod_folder,view,39,1709317983,4
6055,113,5,mod_assign,submit,3,1709338865,4
6056,113,15,mod_lesson,view,213,1709098602,4
6057,113,1,mod_assign,submit,1,1709249469,4
6058,113,9,mod_assign,submit,5,1709161662,4
6059,113,10,mod_folder,attempt,143,1709476992,4
6060,113,6,mod_lesson,attempt,78,1709102761,4
6061,116,2,mod_url,view,30,1709541791,4
6062,116,4,mod_lesson,view,53,1709492883,4
6063,116,14,mod_url,view,201,1709139507,4
6064,116,6,mod_book,view,77,1709333126,4
6065,116,9,mod_book,view,132,1709039237,4
6066,116,10,mod_folder,view,138,1709291578,4
6067,132,13,mod_lesson,view,193,1709492064,4
6068,132,13,mod_book,view,191,1709062842,4
6069,132,3,mod_url,view,37,1709233267,4
6070,135,11,mod_page,view,162,1709303901,4
6071,135,10,mod_lesson,attempt,136,1709209558,4
6072,135,5,mod_assign,submit,3,1709194645,4
6073,135,10,mod_page,view,137,1709454051,4
6074,135,8,mod_assign,submit,12,1709163105,4
6075,135,15,mod_lesson,view,213,1709198897,4
6076,135,2,mod_book,view,22,1709414944,4
6077,135,8,mod_bigbluebuttonbn,view,119,1709357722,4
6078,135,3,mod_book,view,36,1709447285,4
6079,135,12,mod_url,view,168,1709207257,4
6080,135,15,mod_assign,submit,8,1709032925,4
6081,135,2,mod_book,view,26,1709488994,4
6082,135,13,mod_assign,submit,7,1709311948,4
6083,135,2,mod_url,view,27,1709543970,4
6084,135,11,mod_resource,view,152,1709515090,4
6085,135,5,mod_resource,view,61,1709283910,4
6086,135,11,mod_resource,view,152,1709123772,4
6087,135,3,mod_page,view,40,1708997417,4
6088,139,6,mod_resource,view,86,1709070308,4
6089,139,4,mod_page,attempt,57,1709464138,4
6090,139,12,mod_resource,view,177,1709042689,4
6091,139,3,mod_book,view,44,1709375891,4
6092,139,10,mod_folder,view,143,1709379903,4
6093,139,10,mod_lesson,attempt,136,1709482166,4
6094,139,1,mod_page,view,4,1709255717,4
6095,139,11,mod_resource,view,156,1709345058,4
6096,139,13,mod_url,view,187,1708945010,4
6097,139,7,mod_folder,view,105,1709420064,4
6098,139,10,mod_bigbluebuttonbn,view,150,1709113995,4
6099,139,9,mod_lesson,view,131,1709347281,4
6100,139,7,mod_url,view,99,1709563882,4
6101,139,9,mod_page,view,123,1709492210,4
6102,151,4,mod_assign,submit,10,1709354374,4
6103,151,10,mod_lesson,view,148,1708941648,4
6104,151,6,mod_book,view,83,1709037998,4
6105,151,15,mod_resource,attempt,223,1709508119,4
6106,151,10,mod_bigbluebuttonbn,view,145,1709402011,4
6107,151,3,mod_folder,view,39,1708982011,4
6108,151,10,mod_folder,view,138,1709450659,4
6109,151,4,mod_page,view,54,1709519293,4
6110,178,1,mod_url,view,14,1709057322,4
6111,178,5,mod_page,view,72,1709107872,4
6112,178,3,mod_url,view,41,1709125293,4
6113,178,13,mod_url,view,187,1709609363,4
6114,178,13,mod_resource,view,184,1709310336,4
6115,178,14,mod_resource,view,200,1709274242,4
6116,178,8,mod_bigbluebuttonbn,view,119,1708975534,4
6117,178,1,mod_book,view,7,1709151564,4
6118,189,14,mod_assign,submit,15,1709159570,4
6119,189,10,mod_resource,view,139,1709268218,4
6120,189,1,mod_bigbluebuttonbn,attempt,13,1709494603,4
6121,189,3,mod_url,view,37,1709048259,4
6122,189,13,mod_url,view,185,1709051155,4
6123,189,10,mod_url,view,146,1709479492,4
6124,189,12,mod_url,view,170,1709149366,4
6125,189,6,mod_book,attempt,83,1709055315,4
6126,189,8,mod_resource,attempt,113,1709158691,4
6127,189,10,mod_page,view,137,1709196869,4
6128,194,8,mod_folder,view,107,1709184198,4
6129,194,10,mod_lesson,view,136,1709167676,4
6130,194,7,mod_bigbluebuttonbn,view,98,1709006794,4
6131,194,1,mod_bigbluebuttonbn,view,13,1709471167,4
6132,194,12,mod_resource,view,167,1708981852,4
6133,214,6,mod_book,view,90,1709286872,4
6134,214,10,mod_page,view,137,1709293719,4
6135,214,5,mod_folder,view,73,1709450386,4
6136,214,7,mod_assign,submit,4,1709556751,4
6137,223,7,mod_bigbluebuttonbn,attempt,97,1709370897,4
6138,223,11,mod_page,view,160,1709429877,4
6139,223,8,mod_resource,view,113,1709422646,4
6140,223,4,mod_book,view,50,1709541192,4
6141,223,7,mod_folder,view,105,1709026275,4
6142,223,13,mod_assign,submit,7,1709180644,4
6143,223,2,mod_assign,submit,9,1709283716,4
6144,223,5,mod_folder,attempt,73,1709041731,4
6145,223,9,mod_page,view,123,1709543883,4
6146,223,9,mod_lesson,view,130,1709061493,4
6147,223,12,mod_folder,view,169,1709219786,4
6148,223,5,mod_page,view,71,1709046432,4
6149,223,10,mod_bigbluebuttonbn,view,145,1709172220,4
6150,235,5,mod_book,view,62,1709117021,4
6151,235,1,mod_page,attempt,4,1709206455,4
6152,235,7,mod_folder,view,96,1709380829,4
6153,235,13,mod_book,view,182,1709129055,4
6154,235,1,mod_folder,view,6,1708962549,4
6155,241,7,mod_url,view,104,1709208763,4
6156,241,4,mod_assign,submit,10,1709537731,4
6157,241,4,mod_lesson,attempt,55,1709450422,4
6158,241,7,mod_assign,submit,4,1709158051,4
6159,241,7,mod_folder,view,105,1709561143,4
6160,241,12,mod_resource,view,166,1709340074,4
6161,241,8,mod_resource,view,113,1709248741,4
6162,241,3,mod_url,attempt,38,1709411598,4
6163,241,12,mod_folder,view,169,1709561574,4
6164,241,2,mod_lesson,attempt,28,1709443246,4
6165,241,4,mod_page,view,54,1709334975,4
6166,241,1,mod_url,view,14,1709224543,4
6167,241,12,mod_bigbluebuttonbn,view,172,1709279824,4
6168,241,2,mod_url,view,30,1709410374,4
6169,241,9,mod_book,view,127,1709370329,4
6170,257,14,mod_assign,submit,15,1709059989,4
6171,257,8,mod_lesson,view,108,1709285826,4
6172,257,10,mod_lesson,attempt,136,1709220849,4
6173,257,8,mod_lesson,view,108,1709372814,4
6174,257,9,mod_book,view,134,1709433463,4
6175,257,14,mod_book,view,203,1709052997,4
6176,257,6,mod_book,view,90,1709034584,4
6177,257,4,mod_assign,submit,10,1709274516,4
6178,257,9,mod_assign,submit,5,1709432151,4
6179,257,9,mod_book,view,129,1709096990,4
6180,257,14,mod_page,view,207,1708985502,4
6181,265,2,mod_assign,submit,9,1709573271,4
6182,265,11,mod_resource,view,151,1709542348,4
6183,265,12,mod_bigbluebuttonbn,view,171,1709442738,4
6184,265,7,mod_resource,view,92,1709391846,4
6185,265,9,mod_lesson,view,131,1709502105,4
6186,265,7,mod_assign,submit,4,1708969397,4
6187,265,11,mod_resource,view,165,1709141852,4
6188,279,5,mod_bigbluebuttonbn,view,74,1709448312,4
6189,279,12,mod_bigbluebuttonbn,view,172,1709261592,4
6190,279,7,mod_assign,submit,4,1709494490,4
6191,279,15,mod_assign,submit,8,1709346335,4
6192,279,1,mod_book,view,7,1709197895,4
6193,295,3,mod_book,attempt,44,1709267655,4
6194,295,1,mod_folder,view,6,1709150905,4
6195,295,9,mod_lesson,view,131,1709563756,4
6196,295,5,mod_resource,attempt,68,1709281273,4
6197,295,12,mod_bigbluebuttonbn,view,171,1709374914,4
6198,295,2,mod_bigbluebuttonbn,view,29,1709440733,4
6199,295,3,mod_url,attempt,41,1709142339,4
6200,295,2,mod_book,view,19,1709429911,4
6201,295,7,mod_assign,submit,4,1709304293,4
6202,295,12,mod_url,view,170,1709268537,4
6203,295,8,mod_folder,attempt,107,1709152407,4
6204,295,4,mod_book,view,50,1709190243,4
6205,295,8,mod_bigbluebuttonbn,view,119,1709328922,4
6206,295,1,mod_url,view,15,1709144229,4
6207,296,12,mod_folder,view,169,1709038972,4
6208,296,12,mod_folder,view,175,1709056558,4
6209,298,8,mod_assign,submit,12,1709051354,4
6210,298,6,mod_book,view,77,1709291770,4
6211,298,12,mod_assign,submit,14,1709158115,4
6212,298,14,mod_assign,submit,15,1709450291,4
6213,298,7,mod_url,view,104,1709438928,4
6214,298,11,mod_resource,view,152,1709149426,4
6215,298,13,mod_lesson,view,193,1709042691,4
6216,298,6,mod_book,view,90,1709079020,4
6217,298,11,mod_page,view,162,1709552694,4
6218,298,13,mod_lesson,attempt,195,1709117120,4
6219,298,10,mod_folder,view,138,1709173969,4
6220,298,7,mod_folder,view,105,1709222113,4
6221,298,11,mod_resource,view,156,1709375545,4
6222,298,8,mod_assign,submit,12,1709510014,4
6223,298,10,mod_assign,submit,13,1709252555,4
6224,298,2,mod_lesson,view,17,1708975175,4
6225,300,11,mod_resource,view,157,1709149870,4
6226,300,9,mod_book,view,127,1709453098,4
6227,300,13,mod_assign,submit,7,1709374546,4
6228,300,7,mod_assign,submit,4,1709101717,4
6229,300,11,mod_url,view,154,1709262372,4
6230,300,10,mod_assign,submit,13,1709024691,4
6231,300,9,mod_book,view,132,1709298028,4
6232,300,4,mod_page,view,60,1709349852,4
6233,300,9,mod_lesson,view,121,1709341131,4
6234,300,14,mod_page,view,207,1709469725,4
6235,300,11,mod_assign,submit,6,1709126789,4
6236,300,7,mod_resource,view,92,1709261149,4
6237,300,5,mod_bigbluebuttonbn,view,66,1709059459,4
6238,300,7,mod_lesson,view,93,1709257166,4
6239,300,6,mod_book,view,89,1709245227,4
6240,300,9,mod_book,view,134,1709107807,4
6241,300,2,mod_book,view,19,1709359095,4
6242,300,10,mod_resource,attempt,139,1709349207,4
6243,300,13,mod_assign,submit,7,1709257122,4
6244,305,11,mod_assign,submit,6,1709498236,4
6245,305,1,mod_url,view,14,1709606589,4
6246,305,15,mod_resource,view,211,1709236830,4
6247,305,3,mod_book,view,36,1709002265,4
6248,305,1,mod_assign,submit,1,1709194121,4
6249,305,8,mod_lesson,view,114,1709540215,4
6250,305,6,mod_page,view,85,1709541420,4
6251,305,14,mod_resource,view,200,1709466001,4
6252,305,3,mod_url,view,41,1709375285,4
6253,305,3,mod_url,view,37,1709230250,4
6254,305,8,mod_resource,view,113,1709586131,4
6255,320,6,mod_resource,view,84,1709004276,4
6256,320,15,mod_folder,view,220,1709428259,4
6257,320,4,mod_resource,view,56,1709164719,4
6258,320,9,mod_lesson,view,130,1709531646,4
6259,320,8,mod_lesson,view,108,1709517744,4
6260,320,6,mod_page,view,81,1709345393,4
6261,320,4,mod_assign,submit,10,1709498970,4
6262,321,6,mod_book,view,77,1709066429,4
6263,321,2,mod_lesson,view,17,1709079623,4
6264,321,1,mod_folder,view,6,1709484421,4
6265,321,7,mod_resource,view,92,1709528903,4
6266,333,5,mod_resource,view,61,1709531990,4
6267,333,5,mod_bigbluebuttonbn,view,66,1709498238,4
6268,333,6,mod_resource,view,87,1709587898,4
6269,333,1,mod_folder,view,6,1709344800,4
6270,333,10,mod_assign,submit,13,1708978679,4
6271,333,2,mod_url,view,21,1709052037,4
6272,333,12,mod_resource,attempt,177,1709204259,4
6273,333,2,mod_url,view,30,1709375922,4
6274,333,12,mod_bigbluebuttonbn,view,171,1709057920,4
6275,357,2,mod_book,view,22,1709298975,4
6276,357,8,mod_assign,submit,12,1709030839,4
6277,357,9,mod_lesson,view,121,1709108216,4
6278,357,14,mod_resource,view,200,1709040940,4
6279,357,9,mod_lesson,view,121,1709178364,4
6280,358,8,mod_lesson,view,108,1709177697,4
6281,358,7,mod_page,view,101,1709319802,4
6282,358,4,mod_lesson,view,55,1709465231,4
6283,358,15,mod_resource,view,223,1709296147,4
6284,358,9,mod_lesson,attempt,121,1709441421,4
6285,358,2,mod_lesson,attempt,17,1709423621,4
6286,358,8,mod_resource,view,113,1709278932,4
6287,358,13,mod_page,view,194,1709406324,4
6288,358,9,mod_book,view,132,1709295484,4
6289,358,8,mod_lesson,attempt,114,1709564415,4
6290,358,5,mod_assign,submit,3,1709301632,4
6291,358,2,mod_url,view,27,1709093713,4
6292,358,4,mod_lesson,view,55,1709469036,4
6293,358,14,mod_page,view,207,1709355513,4
6294,359,8,mod_assign,submit,12,1709124559,4
6295,359,10,mod_assign,submit,13,1709440533,4
6296,359,14,mod_page,view,207,1709577691,4
6297,359,12,mod_resource,view,166,1709401213,4
6298,359,7,mod_assign,submit,4,1709342079,4
6299,359,15,mod_folder,view,220,1709386715,4
6300,359,6,mod_page,view,81,1709391886,4
6301,359,2,mod_assign,submit,9,1709483928,4
6302,359,8,mod_resource,view,115,1709151093,4
6303,359,5,mod_bigbluebuttonbn,attempt,74,1709564525,4
6304,359,3,mod_folder,attempt,39,1709279900,4
6305,359,2,mod_lesson,attempt,17,1709171899,4
6306,359,6,mod_assign,submit,11,1709401538,4
6307,359,2,mod_bigbluebuttonbn,view,29,1709156768,4
6308,359,7,mod_lesson,view,93,1709517426,4
6309,359,14,mod_url,view,209,1709171329,4
6310,370,14,mod_book,view,203,1709577081,4
6311,370,7,mod_url,view,99,1709539938,4
6312,370,4,mod_resource,view,56,1709530254,4
6313,370,10,mod_page,view,137,1709175608,4
6314,370,10,mod_url,view,146,1709245585,4
6315,370,10,mod_url,view,140,1709245737,4
6316,370,5,mod_bigbluebuttonbn,view,65,1709109526,4
6317,380,9,mod_resource,view,128,1709148728,4
6318,380,12,mod_book,view,180,1709513001,4
6319,380,11,mod_resource,view,152,1709006448,4
6320,380,11,mod_page,view,161,1709185231,4
6321,380,11,mod_bigbluebuttonbn,attempt,158,1709087082,4
6322,380,11,mod_resource,view,164,1709105289,4
6323,380,7,mod_url,view,95,1709069846,4
6324,380,8,mod_assign,submit,12,1709380680,4
6325,380,11,mod_resource,attempt,155,1709080193,4
6326,380,8,mod_lesson,view,108,1709258985,4
6327,380,9,mod_book,view,127,1709371215,4
6328,380,11,mod_resource,view,157,1709292535,4
6329,380,2,mod_resource,view,20,1709171118,4
6330,380,6,mod_page,attempt,85,1709237009,4
6331,380,10,mod_bigbluebuttonbn,view,150,1709327023,4
6332,380,6,mod_book,attempt,77,1709044748,4
6333,380,6,mod_resource,attempt,87,1709546061,4
6334,380,12,mod_assign,submit,14,1709577459,4
6335,380,3,mod_url,attempt,37,1709179294,4
6336,380,1,mod_url,view,15,1709054050,4
6337,380,1,mod_lesson,attempt,11,1709025490,4
6338,380,13,mod_url,attempt,187,1709264033,4
6339,383,3,mod_book,attempt,44,1709534658,4
6340,383,7,mod_assign,submit,4,1709161701,4
6341,383,12,mod_resource,view,166,1709080314,4
6342,383,12,mod_resource,view,173,1709316637,4
6343,383,1,mod_book,view,7,1709536000,4
6344,383,11,mod_assign,submit,6,1709034981,4
6345,383,4,mod_page,view,60,1709228940,4
6346,383,13,mod_book,view,191,1709067391,4
6347,383,9,mod_book,view,127,1709093163,4
6348,383,5,mod_resource,view,61,1709511445,4
6349,383,10,mod_lesson,attempt,148,1709026392,4
6350,383,2,mod_lesson,view,28,1709416466,4
6351,383,1,mod_assign,submit,1,1709055233,4
6352,383,15,mod_resource,view,211,1709166936,4
6353,383,11,mod_resource,view,164,1709121600,4
6354,383,13,mod_assign,submit,7,1709148737,4
6355,383,3,mod_url,attempt,41,1709559789,4
6356,383,3,mod_url,view,41,1709423887,4
6357,383,13,mod_resource,attempt,184,1709402352,4
6358,405,2,mod_page,view,16,1709243985,4
6359,405,8,mod_lesson,view,108,1709220573,4
6360,406,10,mod_lesson,view,148,1709163172,4
6361,406,10,mod_url,view,141,1709541400,4
6362,406,6,mod_page,view,81,1709058390,4
6363,406,8,mod_bigbluebuttonbn,view,110,1709325442,4
6364,411,15,mod_resource,view,211,1709519009,4
6365,411,6,mod_book,view,90,1709426257,4
6366,411,6,mod_lesson,view,78,1709570547,4
6367,411,11,mod_resource,view,157,1709349902,4
6368,411,1,mod_assign,submit,1,1709575149,4
6369,411,14,mod_url,view,209,1709359294,4
6370,411,2,mod_lesson,view,17,1709339047,4
6371,411,12,mod_folder,attempt,175,1709469190,4
6372,411,2,mod_lesson,attempt,23,1709549277,4
6373,411,5,mod_bigbluebuttonbn,view,74,1709209447,4
6374,411,5,mod_folder,view,73,1709532479,4
6375,411,10,mod_assign,submit,13,1708994431,4
6376,411,7,mod_assign,submit,4,1709028325,4
6377,411,3,mod_book,view,44,1709080054,4
6378,411,2,mod_url,attempt,30,1709344862,4
6379,411,8,mod_bigbluebuttonbn,view,119,1709363236,4
6380,411,10,mod_assign,submit,13,1709252959,4
6381,411,1,mod_page,attempt,3,1709306500,4
6382,411,5,mod_bigbluebuttonbn,view,74,1709458396,4
6383,411,2,mod_book,view,26,1709114555,4
6384,411,8,mod_resource,view,113,1709306891,4
6385,411,8,mod_bigbluebuttonbn,view,110,1709179625,4
6386,411,8,mod_assign,submit,12,1709131911,4
6387,411,13,mod_page,attempt,194,1709077722,4
6388,411,4,mod_lesson,view,53,1709386073,4
6389,411,15,mod_folder,view,220,1709070721,4
6390,411,10,mod_folder,view,138,1709049928,4
6391,411,13,mod_assign,submit,7,1709402550,4
6392,411,12,mod_book,view,180,1709386662,4
6393,411,8,mod_bigbluebuttonbn,view,110,1709545796,4
6394,412,10,mod_lesson,view,148,1709091420,4
6395,412,1,mod_bigbluebuttonbn,view,13,1709383045,4
6396,412,1,mod_lesson,view,11,1709117203,4
6397,412,12,mod_url,view,168,1709149490,4
6398,412,10,mod_page,view,137,1709552158,4
6399,412,4,mod_lesson,attempt,53,1709215557,4
6400,412,14,mod_lesson,view,210,1709077593,4
6401,412,6,mod_book,view,90,1709224238,4
6402,412,12,mod_book,view,180,1709416261,4
6403,412,8,mod_assign,submit,12,1708996027,4
6404,412,11,mod_resource,view,164,1709045489,4
6405,412,12,mod_resource,view,173,1709109994,4
6406,412,13,mod_book,view,191,1709444944,4
6407,430,6,mod_book,view,89,1709276161,4
6408,430,12,mod_url,attempt,179,1709048176,4
6409,430,3,mod_assign,submit,2,1709585987,4
6410,430,4,mod_page,view,60,1709089681,4
6411,430,13,mod_url,attempt,187,1709403111,4
6412,430,10,mod_url,view,141,1709531130,4
6413,430,9,mod_assign,submit,5,1708998024,4
6414,430,6,mod_page,view,85,1709038609,4
6415,430,1,mod_resource,view,10,1709188739,4
6416,430,11,mod_page,view,162,1709303059,4
6417,439,7,mod_bigbluebuttonbn,view,97,1709169739,4
6418,439,9,mod_lesson,attempt,130,1709569203,4
6419,439,13,mod_url,view,187,1709106382,4
6420,439,3,mod_book,view,36,1709447972,4
6421,439,3,mod_book,view,44,1709373274,4
6422,441,2,mod_lesson,view,28,1709348830,4
6423,450,6,mod_book,view,90,1709322036,4
6424,450,10,mod_assign,submit,13,1709065082,4
6425,450,2,mod_lesson,view,23,1709389516,4
6426,450,5,mod_page,view,72,1709341159,4
6427,450,5,mod_resource,view,61,1709167891,4
6428,450,11,mod_resource,view,155,1709292786,4
6429,450,8,mod_assign,submit,12,1709067380,4
6430,450,4,mod_page,view,54,1709255500,4
6431,453,13,mod_resource,view,184,1709228994,4
6432,453,1,mod_assign,submit,1,1709169886,4
6433,453,3,mod_folder,view,39,1709114502,4
6434,459,4,mod_assign,submit,10,1709119257,4
6435,459,11,mod_assign,submit,6,1709026377,4
6436,459,10,mod_resource,view,139,1709066481,4
6437,459,10,mod_resource,view,139,1709474623,4
6438,459,1,mod_page,view,3,1709168481,4
6439,459,1,mod_url,view,2,1709598649,4
6440,459,3,mod_book,view,36,1709277004,4
6441,459,13,mod_lesson,view,195,1709567052,4
6442,459,6,mod_resource,view,86,1709025301,4
6443,459,2,mod_book,view,22,1709320449,4
6444,459,10,mod_url,view,140,1709042675,4
6445,459,2,mod_lesson,view,28,1709257693,4
6446,459,5,mod_page,view,72,1709043827,4
6447,459,6,mod_book,view,89,1709304011,4
6448,459,15,mod_lesson,view,224,1709481564,4
6449,459,15,mod_resource,attempt,211,1709352899,4
6450,460,12,mod_resource,view,166,1709242655,4
6451,460,4,mod_page,view,60,1709247610,4
6452,460,2,mod_book,view,19,1709475505,4
6453,464,6,mod_resource,view,84,1709028144,4
6454,464,3,mod_assign,submit,2,1709159630,4
6455,464,12,mod_folder,view,169,1709368884,4
6456,464,6,mod_bigbluebuttonbn,attempt,82,1709472089,4
6457,464,12,mod_url,view,179,1709489436,4
6458,464,11,mod_resource,view,165,1709290117,4
6459,466,8,mod_book,view,106,1709314730,4
6460,466,8,mod_bigbluebuttonbn,view,119,1709027383,4
6461,466,12,mod_assign,submit,14,1709400342,4
6462,466,15,mod_url,view,214,1709232337,4
6463,466,14,mod_book,view,203,1709500793,4
6464,466,10,mod_lesson,view,136,1708964480,4
6465,466,8,mod_resource,view,115,1709364054,4
6466,466,12,mod_url,attempt,179,1709522933,4
6467,466,3,mod_url,view,38,1709286403,4
6468,466,3,mod_url,view,38,1709306683,4
6469,466,4,mod_page,view,57,1709417166,4
6470,468,9,mod_lesson,view,131,1709332770,4
6471,468,10,mod_folder,view,138,1709263888,4
6472,468,11,mod_url,view,154,1708984233,4
6473,468,1,mod_lesson,view,8,1709568297,4
6474,468,5,mod_folder,attempt,73,1709295951,4
6475,468,10,mod_folder,view,138,1709226071,4
6476,468,8,mod_lesson,view,114,1709074640,4
6477,468,7,mod_url,view,99,1709590094,4
6478,468,5,mod_resource,view,61,1709407376,4
6479,470,1,mod_lesson,view,11,1709284815,4
6480,470,7,mod_bigbluebuttonbn,attempt,98,1709209979,4
6481,470,4,mod_resource,view,56,1709043635,4
6482,470,5,mod_bigbluebuttonbn,view,66,1709004668,4
6483,470,6,mod_resource,attempt,84,1709436305,4
6484,470,11,mod_resource,view,152,1709077875,4
6485,470,1,mod_url,attempt,14,1709518107,4
6486,470,7,mod_lesson,attempt,93,1709239356,4
6487,470,8,mod_folder,view,107,1709520668,4
6488,501,10,mod_lesson,view,148,1709045099,4
6489,501,8,mod_assign,submit,12,1709427752,4
6490,501,2,mod_assign,submit,9,1709541169,4
6491,501,13,mod_resource,view,184,1709374835,4
6492,501,13,mod_book,view,191,1709567041,4
6493,501,15,mod_resource,view,211,1709440609,4
6494,501,9,mod_page,view,123,1709087469,4
6495,501,7,mod_bigbluebuttonbn,view,98,1709398875,4
6496,501,3,mod_page,view,40,1709143183,4
6497,501,1,mod_resource,view,10,1709395699,4
6498,501,13,mod_book,view,191,1709222429,4
6499,501,2,mod_lesson,view,17,1709248459,4
6500,501,14,mod_assign,submit,15,1709087526,4
